Fecha,SKU,Precio_compra,Precio_venta,Cantidad,Cliente,Tipo_cliente,Vendedor,Promo_bavaria,SMMLV,IPC,Quincena,Prima,Festivo,Venta_7_dias
2024-01-01 00:00:00,1051,3657.77,5110.01,5,16,bar,5,0,1300000,10.1,1,0,1,0
2024-01-01 01:00:00,1092,2861.78,3987.24,7,18,bar,4,0,1300000,9.74,1,0,1,0
2024-01-01 02:00:00,1014,2497.43,3834.28,5,18,bar,3,0,1300000,9.84,1,0,1,0
2024-01-01 03:00:00,1071,3234.29,4348.7,5,38,tienda_barrio,9,0,1300000,9.95,1,0,1,0
2024-01-01 04:00:00,1060,3413.55,5270.24,9,43,supermercado,7,0,1300000,10.35,1,0,1,0
2024-01-01 05:00:00,1020,2334.08,3180.7,7,32,restaurante,7,0,1300000,10.16,1,0,1,0
2024-01-01 06:00:00,1082,2335.24,3108.89,5,7,supermercado,8,0,1300000,10.22,1,0,1,0
2024-01-01 07:00:00,1086,2073.34,2864.52,8,23,bar,1,0,1300000,10.29,1,0,1,0
2024-01-01 08:00:00,1074,3472.8,5226.49,2,23,supermercado,4,0,1300000,10.72,1,0,1,0
2024-01-01 09:00:00,1074,3327.61,4160.85,8,46,tienda_barrio,5,1,1300000,10.01,1,0,1,0
2024-01-01 10:00:00,1087,2949.26,3770.83,4,18,bar,5,0,1300000,10.29,1,0,1,0
2024-01-01 11:00:00,1099,3688.34,5829.71,10,7,supermercado,1,0,1300000,10.21,1,0,1,0
2024-01-01 12:00:00,1023,3611.34,4587.11,5,42,restaurante,3,1,1300000,10.2,1,0,1,0
2024-01-01 13:00:00,1002,3170.71,4524.89,3,40,bar,2,1,1300000,10.36,1,0,1,0
2024-01-01 14:00:00,1021,3736.54,5349.7,5,24,bar,7,1,1300000,9.92,1,0,1,0
2024-01-01 15:00:00,1052,2411.68,3366.34,7,14,tienda_barrio,5,0,1300000,9.91,1,0,1,0
2024-01-01 16:00:00,1001,2223.84,3242.13,3,5,tienda_barrio,3,0,1300000,10.07,1,0,1,0
2024-01-01 17:00:00,1087,2539.5,3280.86,2,46,restaurante,8,1,1300000,9.97,1,0,1,0
2024-01-01 18:00:00,1029,2114.17,3004.37,8,22,supermercado,1,1,1300000,10.07,1,0,1,0
2024-01-01 19:00:00,1037,3062.34,4130.7,8,22,supermercado,1,0,1300000,10.32,1,0,1,0
2024-01-01 20:00:00,1001,3873.21,5672.96,7,10,bar,6,0,1300000,9.91,1,0,1,0
2024-01-01 21:00:00,1063,2078.69,2611.85,9,26,bar,1,0,1300000,9.95,1,0,1,0
2024-01-01 22:00:00,1059,2244.22,3205.53,8,15,supermercado,4,0,1300000,10.04,1,0,1,0
2024-01-01 23:00:00,1020,2904.4,3700.52,6,38,supermercado,6,0,1300000,9.96,1,0,1,0
2024-01-02 00:00:00,1032,3867.75,5072.39,7,41,supermercado,1,0,1300000,9.63,1,0,0,0
2024-01-02 01:00:00,1075,2632.31,3389.06,7,42,bar,9,1,1300000,9.9,1,0,0,0
2024-01-02 02:00:00,1057,3014.47,3837.83,8,49,tienda_barrio,4,0,1300000,10.15,1,0,0,0
2024-01-02 03:00:00,1021,2083.15,3187.81,7,1,tienda_barrio,9,1,1300000,10.3,1,0,0,0
2024-01-02 04:00:00,1088,2296.69,3018.5,4,14,restaurante,9,0,1300000,9.78,1,0,0,0
2024-01-02 05:00:00,1048,3973.26,6241.39,4,36,supermercado,6,0,1300000,9.78,1,0,0,0
2024-01-02 06:00:00,1090,3930.24,6241.11,2,31,supermercado,7,0,1300000,10.02,1,0,0,0
