fecha_hora,sku,nombre_producto,precio_compra,precio_venta,cantidad,venta_hace_7_dias,cliente_id,tipo_cliente,vendedor_id,promo_bavaria,quincena_pago,pago_prima,festivo,nombre_festivo,smmlv,ipc_anual_pct
2021-01-01 09:26:34,1006,Costeña 330ml,1701,2840,43,0,CLI0046,supermercado,VEN004,0,1,0,1,Año Nuevo,908526,5.62
2021-01-01 12:19:38,1007,Club Colombia 6-pack,12923,18996,54,0,CLI0177,supermercado,VEN005,0,1,0,1,Año Nuevo,908526,5.62
2021-01-01 12:52:21,1002,Club Colombia Dorada 330ml,2308,3625,40,0,CLI0384,bar_discoteca,VEN013,0,1,0,1,Año Nuevo,908526,5.62
2021-01-01 13:17:36,1001,Club Colombia Roja 330ml,2267,3398,52,0,CLI0087,bar_discoteca,VEN016,1,1,0,1,Año Nuevo,908526,5.62
2021-01-01 16:42:36,1001,Club Colombia Roja 330ml,2386,3750,22,0,CLI0357,restaurante,VEN014,0,1,0,1,Año Nuevo,908526,5.62
2021-01-01 21:08:04,1005,Póker 330ml,1790,2617,11,0,CLI0376,tienda_barrio,VEN014,1,1,0,1,Año Nuevo,908526,5.62
2021-01-02 02:14:31,1003,Águila 330ml,1921,3032,10,0,CLI0361,tienda_barrio,VEN005,0,1,0,0,,908526,5.62
2021-01-02 03:19:18,1002,Club Colombia Dorada 330ml,2364,3643,17,0,CLI0057,restaurante,VEN015,0,1,0,0,,908526,5.62
2021-01-02 07:12:01,1002,Club Colombia Dorada 330ml,2262,3745,8,0,CLI0103,tienda_barrio,VEN002,0,1,0,0,,908526,5.62
2021-01-02 07:28:57,1007,Club Colombia 6-pack,12969,19032,13,0,CLI0099,restaurante,VEN009,0,1,0,0,,908526,5.62
2021-01-02 08:50:13,1008,Águila 6-pack,9819,15708,18,0,CLI0226,restaurante,VEN021,0,1,0,0,,908526,5.62
2021-01-02 13:26:27,1001,Club Colombia Roja 330ml,2268,3350,37,0,CLI0326,bar_discoteca,VEN006,1,1,0,0,,908526,5.62
2021-01-02 14:20:52,1001,Club Colombia Roja 330ml,2264,3501,11,0,CLI0064,tienda_barrio,VEN009,1,1,0,0,,908526,5.62
2021-01-02 19:19:19,1001,Club Colombia Roja 330ml,2265,3642,33,0,CLI0121,bar_discoteca,VEN016,0,1,0,0,,908526,5.62
2021-01-02 22:30:01,1006,Costeña 330ml,1730,2752,20,0,CLI0005,restaurante,VEN002,0,1,0,0,,908526,5.62
2021-01-03 00:54:53,1009,Póker 6-pack,9761,15146,10,0,CLI0341,tienda_barrio,VEN019,0,0,0,1,Domingo,908526,5.62
2021-01-03 02:44:48,1001,Club Colombia Roja 330ml,2306,3641,21,0,CLI0109,restaurante,VEN017,0,0,0,1,Domingo,908526,5.62
2021-01-03 05:45:54,1003,Águila 330ml,1908,2973,46,0,CLI0267,supermercado,VEN025,0,0,0,1,Domingo,908526,5.62
2021-01-03 08:50:25,1004,Águila Light 330ml,1908,3092,13,0,CLI0388,restaurante,VEN011,0,0,0,1,Domingo,908526,5.62
2021-01-03 12:30:31,1003,Águila 330ml,1898,2908,28,0,CLI0350,supermercado,VEN011,0,0,0,1,Domingo,908526,5.62
2021-01-03 16:19:21,1007,Club Colombia 6-pack,12384,19372,10,0,CLI0185,tienda_barrio,VEN022,0,0,0,1,Domingo,908526,5.62
2021-01-03 16:56:27,1005,Póker 330ml,1805,2959,20,0,CLI0183,hotel,VEN011,0,0,0,1,Domingo,908526,5.62
2021-01-03 21:03:19,1001,Club Colombia Roja 330ml,2294,3815,31,0,CLI0358,supermercado,VEN013,0,0,0,1,Domingo,908526,5.62
2021-01-04 01:01:50,1008,Águila 6-pack,10313,15020,19,0,CLI0072,restaurante,VEN001,0,0,0,0,,908526,5.62
2021-01-04 06:53:10,1008,Águila 6-pack,9759,15827,7,0,CLI0144,tienda_barrio,VEN023,0,0,0,0,,908526,5.62
2021-01-04 10:20:12,1002,Club Colombia Dorada 330ml,2392,3639,7,0,CLI0232,tienda_barrio,VEN020,0,0,0,0,,908526,5.62
2021-01-04 11:45:45,1008,Águila 6-pack,10316,15489,8,0,CLI0264,tienda_barrio,VEN014,0,0,0,0,,908526,5.62
2021-01-04 14:21:29,1001,Club Colombia Roja 330ml,2351,3426,41,0,CLI0327,supermercado,VEN011,1,0,0,0,,908526,5.62
2021-01-04 15:54:29,1003,Águila 330ml,1911,3058,5,0,CLI0024,tienda_barrio,VEN024,0,0,0,0,,908526,5.62
2021-01-05 01:13:07,1003,Águila 330ml,1876,3067,9,0,CLI0311,tienda_barrio,VEN016,0,0,0,0,,908526,5.62
2021-01-05 02:12:11,1005,Póker 330ml,1791,2901,6,0,CLI0042,tienda_barrio,VEN012,0,0,0,0,,908526,5.62
2021-01-05 05:38:23,1009,Póker 6-pack,9328,14690,6,0,CLI0244,tienda_barrio,VEN022,0,0,0,0,,908526,5.62
2021-01-05 05:45:39,1008,Águila 6-pack,10084,15080,9,0,CLI0376,tienda_barrio,VEN013,0,0,0,0,,908526,5.62
2021-01-05 09:45:29,1002,Club Colombia Dorada 330ml,2391,3778,22,0,CLI0074,bar_discoteca,VEN017,0,0,0,0,,908526,5.62
2021-01-05 12:04:48,1007,Club Colombia 6-pack,12530,17995,86,0,CLI0367,mayorista,VEN017,1,0,0,0,,908526,5.62
2021-01-05 15:43:01,1004,Águila Light 330ml,1914,3169,8,0,CLI0045,tienda_barrio,VEN010,0,0,0,0,,908526,5.62
2021-01-05 22:25:29,1010,Club Colombia Barril 19L,92200,140539,16,0,CLI0240,restaurante,VEN006,0,0,0,0,,908526,5.62
2021-01-06 00:40:27,1009,Póker 6-pack,9459,15100,10,0,CLI0247,tienda_barrio,VEN022,0,0,0,1,Reyes Magos,908526,5.62
2021-01-06 06:59:38,1002,Club Colombia Dorada 330ml,2260,3629,34,0,CLI0088,supermercado,VEN025,0,0,0,1,Reyes Magos,908526,5.62
2021-01-06 09:18:26,1006,Costeña 330ml,1775,2854,29,0,CLI0055,supermercado,VEN014,0,0,0,1,Reyes Magos,908526,5.62
2021-01-06 15:29:37,1001,Club Colombia Roja 330ml,2337,3707,24,0,CLI0168,restaurante,VEN013,0,0,0,1,Reyes Magos,908526,5.62
2021-01-06 17:42:57,1002,Club Colombia Dorada 330ml,2371,3809,18,0,CLI0132,restaurante,VEN022,0,0,0,1,Reyes Magos,908526,5.62
2021-01-06 18:11:34,1008,Águila 6-pack,9983,14039,7,0,CLI0064,tienda_barrio,VEN022,1,0,0,1,Reyes Magos,908526,5.62
2021-01-06 23:50:12,1004,Águila Light 330ml,1997,2899,29,0,CLI0372,restaurante,VEN016,1,0,0,1,Reyes Magos,908526,5.62
2021-01-07 00:05:09,1006,Costeña 330ml,1795,2783,34,0,CLI0115,supermercado,VEN019,0,0,0,0,,908526,5.62
2021-01-07 04:15:17,1005,Póker 330ml,1843,2940,12,0,CLI0330,restaurante,VEN011,0,0,0,0,,908526,5.62
2021-01-07 15:13:37,1006,Costeña 330ml,1738,2712,28,0,CLI0377,bar_discoteca,VEN024,0,0,0,0,,908526,5.62
